id,vote_id,winner_id,loser_id,winner_text,loser_text,response_time_s
r3,4429538,237368,237315,Western Michigan University,York University,4.95
r4,4429539,237266,237339,University Of California-Santa Barbara,University Of New Mexico Main Campus,8.817
r3,4429540,237320,237317,University of Cincinnati,Loyola University Chicago,2.289
r1,4429541,237239,237243,Harvard University,Columbia University In The City Of New York,5.07
r3,4429543,237275,237373,University Of Iowa,"National University of Ireland, Maynooth",1.762
r4,4429544,237260,237332,Rutgers The State University Of New Jersey New Brunswick Campus,University Of Delaware,3.266
r1,4429545,237358,237353,Howard University,Brigham Young University,1.884
r5,4429546,237244,237265,University Of Pennsylvania,University Of Notre Dame,1.885
r3,4429547,237294,237288,Brandeis University,University Of California-Santa Cruz,3.212
r1,4429548,237299,237359,State University Of New York At Buffalo,Oklahoma State University Main Campus,3.242
r5,4429549,237276,237362,McGill University,University Of Hawaii At Manoa,3.001
r3,4429550,237240,237352,University Of California-Los Angeles,University of Wales,1.91
r6,4429551,237342,237323,Georgia State University,University Of Miami,1.229
r1,4429552,237234,237357,University Of California-Berkeley,"National University of Ireland, Galway.",1.783
r3,4429553,237336,237315,Queen's University,York University,4.615
r1,4429554,237309,237349,McMaster University,Virginia Polytechnic Institute And State University,2.625
r6,4429556,237278,237284,University Of Illinois At Urbana-Champaign,Boston College,4.681
r3,4429557,237307,237324,Texas A & M University,George Mason University,1.446
r1,4429559,237246,237366,Duke University,University Of Oklahoma Norman Campus,3.399
r4,4429560,237251,237268,University Of Texas At Austin,University of Toronto,2.471
r3,4429561,237312,237313,Northeastern University,University Of Kansas,2.744
r5,4429562,237240,237363,University Of California-Los Angeles,University Of North Texas,1.969
r6,4429563,237239,237361,Harvard University,Dalhousie University,4.336
r1,4429564,237241,237360,Stanford University,Wayne State University,1.58
r1,4429565,237266,237297,University Of California-Santa Barbara,State University Of New York At Binghamton,2.363
r6,4429566,237327,237364,University of Edinburgh,University of Saskatchewan,3.623
r3,4429567,237368,237350,Western Michigan University,Carleton University,6.789
r1,4429568,237338,237368,University of Central Florida,Western Michigan University,3.331
r6,4429569,237283,237284,Boston University,Boston College,4.446
r1,4429570,237315,237348,York University,University of Leeds,4.473
r3,4429571,237281,237346,University Of Virginia,University Of Kentucky,6.501
r6,4429572,237244,237297,University Of Pennsylvania,State University Of New York At Binghamton,3.462
r1,4429573,237235,237338,University Of Michigan-Ann Arbor,University of Central Florida,1.618
r3,4429574,237270,237367,City University Of New York Grad. Center,University Of Akron,1.763
r1,4429575,237345,237358,Kansas State University,Howard University,1.774
r3,4429576,237286,237358,University Of California-Riverside,Howard University,2.044
r6,4429577,237260,237343,Rutgers The State University Of New Jersey New Brunswick Campus,University of Alberta,4.391
r1,4429578,237251,237342,University Of Texas At Austin,Georgia State University,1.829
r6,4429579,237249,237315,Cornell University,York University,1.698
r3,4429581,237290,237313,University Of Connecticut,University Of Kansas,3.269
r1,4429582,237316,237321,University Of Florida,University of Sussex,1.55
r6,4429583,237245,237291,Northwestern University,Washington State University,2.203
r4,4429584,237237,237305,Princeton University,Syracuse University Main Campus,2.515
r1,4429585,237266,237294,University Of California-Santa Barbara,Brandeis University,1.649
r3,4429586,237253,237326,Penn State University,University of Victoria,3.322
r6,4429587,237272,237313,State University Of New York At Albany,University Of Kansas,4.039
r3,4429588,237272,237287,State University Of New York At Albany,University of Pittsburgh,1.962
