id,vote_id,winner_id,loser_id,winner_text,loser_text,response_time_s
r31,4430727,237244,237273,University Of Pennsylvania,University of British Columbia,1.964
r22,4430728,237238,237259,University Of Chicago,Johns Hopkins University,1.615
r23,4430729,237292,237276,Rice University,McGill University,3.367
r21,4430730,237368,237369,Western Michigan University,University of Nottingham,5.001
r31,4430731,237244,237301,University Of Pennsylvania,Temple University,2.421
r22,4430732,237354,237326,Southern Illinois University Carbondale,University of Victoria,2.308
r23,4430733,237277,237332,University Of Southern California,University Of Delaware,2.695
r31,4430734,237257,237356,University Of California-Irvine,University of Waterloo,1.784
r21,4430735,237304,237373,University Of Georgia,"National University of Ireland, Maynooth",3.662
r22,4430736,237366,237288,University Of Oklahoma Norman Campus,University Of California-Santa Cruz,3.999
r23,4430737,237296,237351,Purdue University Main Campus,Kent State University Main Campus,2.273
r21,4430738,237316,237328,University Of Florida,University of Calgary,2.527
r22,4430739,237343,237359,University of Alberta,Oklahoma State University Main Campus,2.664
r32,4430740,237253,237356,Penn State University,University of Waterloo,5.025
r31,4430741,237269,237320,Vanderbilt University,University of Cincinnati,6.904
r22,4430742,237295,237342,Michigan State University,Georgia State University,2.76
r21,4430743,237324,237360,George Mason University,Wayne State University,3.201
r32,4430744,237315,237308,York University,Australian National University,3.465
r22,4430745,237317,237309,Loyola University Chicago,McMaster University,2.619
r31,4430746,237258,237286,University Of Arizona,University Of California-Riverside,4.243
r23,4430747,237254,237281,University Of Washington,University Of Virginia,11.084
r21,4430748,237293,237353,Arizona State University,Brigham Young University,3.069
r31,4430749,237263,237327,University Of Massachusetts Amherst,University of Edinburgh,1.977
r32,4430750,237366,237330,University Of Oklahoma Norman Campus,University Of New Hampshire,5.033
r22,4430751,237309,237252,McMaster University,London School of Economics,4.99
r21,4430752,237260,237297,Rutgers The State University Of New Jersey New Brunswick Campus,State University Of New York At Binghamton,4.028
r31,4430753,237238,237332,University Of Chicago,University Of Delaware,3.858
r22,4430754,237313,237335,University Of Kansas,University of Western Ontario,5.03
r21,4430755,237243,237291,Columbia University In The City Of New York,Washington State University,3.404
r31,4430756,237276,237346,McGill University,University Of Kentucky,4.621
r22,4430757,237282,237290,University Of Oregon,University Of Connecticut,1.98
r22,4430758,237258,237308,University Of Arizona,Australian National University,1.824
r31,4430759,237237,237351,Princeton University,Kent State University Main Campus,4.818
r31,4430760,237236,237368,University Of Wisconsin-Madison,Western Michigan University,1.544
r31,4430762,237333,237364,Fordham University,University of Saskatchewan,2.434
r22,4430763,237331,237286,Bowling Green State University,University Of California-Riverside,9.15
r31,4430764,237260,237294,Rutgers The State University Of New Jersey New Brunswick Campus,Brandeis University,2.929
r22,4430765,237372,237305,University of Durham,Syracuse University Main Campus,7.269
r22,4430767,237313,237341,University Of Kansas,University of South Florida,1.865
r22,4430768,237320,237341,University of Cincinnati,University of South Florida,1.941
r32,4430769,237285,237298,University Of Colorado At Boulder,University Of California-San Francisco,4.601
r22,4430770,237282,237297,University Of Oregon,State University Of New York At Binghamton,2.27
r22,4430771,237290,237286,University Of Connecticut,University Of California-Riverside,2.209
r32,4430772,237292,237325,Rice University,Simon Fraser University,4.507
r22,4430773,237249,237330,Cornell University,University Of New Hampshire,2.156
r32,4430774,237291,237349,Washington State University,Virginia Polytechnic Institute And State University,2.972
r22,4430775,237263,237284,University Of Massachusetts Amherst,Boston College,3.421
r32,4430776,237262,237339,University Of California-Davis,University Of New Mexico Main Campus,1.873
r22,4430777,237330,237273,University Of New Hampshire,University of British Columbia,2.881
r32,4430778,237244,237371,University Of Pennsylvania,Utah State University,1.672
r22,4430779,237240,237346,University Of California-Los Angeles,University Of Kentucky,1.67
r32,4430780,237281,237314,University Of Virginia,University of Nevada Las Vegas,3.023
r32,4430781,237269,237332,Vanderbilt University,University Of Delaware,1.566
r22,4430782,237366,237323,University Of Oklahoma Norman Campus,University Of Miami,4.225
r22,4430783,237267,237268,Brown University,University of Toronto,2.283
r32,4430784,237285,237363,University Of Colorado At Boulder,University Of North Texas,2.854
r32,4430785,237351,237345,Kent State University Main Campus,Kansas State University,4.85
r22,4430787,237350,237252,Carleton University,London School of Economics,1.889
r22,4430789,237263,237372,University Of Massachusetts Amherst,University of Durham,1.859
r22,4430790,237304,237285,University Of Georgia,University Of Colorado At Boulder,3.031
r32,4430793,237280,237316,Emory University,University Of Florida,2.653
r21,4430794,237271,237335,State University Of New York At Stony Brook,University of Western Ontario,4.565
r32,4430795,237266,237366,University Of California-Santa Barbara,University Of Oklahoma Norman Campus,2.039
r22,4430797,237249,237321,Cornell University,University of Sussex,1.457
r32,4430798,237304,237338,University Of Georgia,University of Central Florida,1.77
r21,4430799,237241,237322,Stanford University,University Of Missouri - Columbia,3.044
r32,4430800,237304,237311,University Of Georgia,Iowa State University,1.84
r22,4430801,237243,237274,Columbia University In The City Of New York,University Of Illinois At Chicago,4.137
r32,4430802,237295,237367,Michigan State University,University Of Akron,2.945
r22,4430803,237235,237341,University Of Michigan-Ann Arbor,University of South Florida,1.591
r21,4430804,237343,237299,University of Alberta,State University Of New York At Buffalo,5.976
r32,4430805,237264,237292,University Of Maryland College Park,Rice University,2.086
r32,4430806,237284,237338,Boston College,University of Central Florida,2.482
r21,4430807,237237,237239,Princeton University,Harvard University,9.13
r21,4430809,237283,237294,Boston University,Brandeis University,6.73
r32,4430810,237305,237368,Syracuse University Main Campus,Western Michigan University,4.953
r21,4430811,237283,237316,Boston University,University Of Florida,4.361
r32,4430812,237340,237272,Baylor University,State University Of New York At Albany,7.402
r21,4430813,237287,237294,University of Pittsburgh,Brandeis University,3.453
r32,4430814,237257,237301,University Of California-Irvine,Temple University,2.186
r32,4430815,237263,237293,University Of Massachusetts Amherst,Arizona State University,2.148
r21,4430816,237285,237335,University Of Colorado At Boulder,University of Western Ontario,4.307
r32,4430817,237245,237319,Northwestern University,University Of South Carolina Columbia,1.844
r32,4430818,237263,237350,University Of Massachusetts Amherst,Carleton University,1.7
r21,4430819,237250,237313,Yale University,University Of Kansas,2.362
r32,4430820,237296,237348,Purdue University Main Campus,University of Leeds,1.983
r32,4430821,237283,237309,Boston University,McMaster University,1.52
r21,4430822,237368,237282,Western Michigan University,University Of Oregon,3.48
r32,4430823,237246,237239,Duke University,Harvard University,1.619
r21,4430824,237300,237285,Florida State University,University Of Colorado At Boulder,3.529
r23,4430825,237264,237271,University Of Maryland College Park,State University Of New York At Stony Brook,162.616
r21,4430826,237310,237254,University of North Carolina at Charlotte,University Of Washington,4.191
r32,4430828,237259,237327,Johns Hopkins University,University of Edinburgh,1.631
r32,4430829,237311,237303,Iowa State University,Hunter college,4.306
r32,4430830,237281,237257,University Of Virginia,University Of California-Irvine,2.224
r32,4430831,237341,237367,University of South Florida,University Of Akron,9.272
r32,4430832,237236,237255,University Of Wisconsin-Madison,Ohio State University Main Campus,2.787
r32,4430833,237320,237339,University of Cincinnati,University Of New Mexico Main Campus,3.639
r33,4430835,237240,237343,University Of California-Los Angeles,University of Alberta,261.557
r32,4430836,237295,237343,Michigan State University,University of Alberta,1.483
r33,4430837,237258,237278,University Of Arizona,University Of Illinois At Urbana-Champaign,2.282
r32,4430838,237241,237259,Stanford University,Johns Hopkins University,1.821
r21,4430839,237264,237311,University Of Maryland College Park,Iowa State University,4.248
r21,4430840,237261,237270,University Of California-San Diego,City University Of New York Grad. Center,3.246
r33,4430841,237245,237254,Northwestern University,University Of Washington,7.459
r23,4430844,237256,237257,University Of Minnesota-Twin Cities,University Of California-Irvine,3.983
r32,4430845,237257,237335,University Of California-Irvine,University of Western Ontario,1.639
r23,4430846,237245,237365,Northwestern University,Louisiana State University And Agricultural And Mechanical College,2.405
r32,4430847,237341,237334,University of South Florida,Case Western Reserve University,2.007
r32,4430848,237240,237283,University Of California-Los Angeles,Boston University,1.893
r33,4430850,237259,237353,Johns Hopkins University,Brigham Young University,24.286
r32,4430852,237336,237362,Queen's University,University Of Hawaii At Manoa,2.787
r34,4430853,237333,237323,Fordham University,University Of Miami,6.823
r32,4430854,237339,237302,University Of New Mexico Main Campus,Tulane University,3.067
r32,4430855,237298,237323,University Of California-San Francisco,University Of Miami,1.904
r34,4430856,237246,237279,Duke University,The New School for Social Research,1.945
r32,4430857,237340,237304,Baylor University,University Of Georgia,1.429
r34,4430858,237266,237342,University Of California-Santa Barbara,Georgia State University,2.179
r32,4430860,237236,237276,University Of Wisconsin-Madison,McGill University,1.411
r34,4430861,237278,237305,University Of Illinois At Urbana-Champaign,Syracuse University Main Campus,6.317
r32,4430862,237273,237322,University of British Columbia,University Of Missouri - Columbia,6.933
r34,4430863,237236,237315,University Of Wisconsin-Madison,York University,2.06
r32,4430864,237286,237298,University Of California-Riverside,University Of California-San Francisco,2.208
r32,4430865,237260,237330,Rutgers The State University Of New Jersey New Brunswick Campus,University Of New Hampshire,1.65
r34,4430866,237332,237362,University Of Delaware,University Of Hawaii At Manoa,4.219
r34,4430867,237284,237295,Boston College,Michigan State University,3.039
r32,4430868,237266,237261,University Of California-Santa Barbara,University Of California-San Diego,7.175
r34,4430869,237306,237305,North Carolina State University,Syracuse University Main Campus,2.861
r34,4430870,237346,237369,University Of Kentucky,University of Nottingham,2.398
r32,4430871,237294,237339,Brandeis University,University Of New Mexico Main Campus,8.537
r32,4430872,237267,237365,Brown University,Louisiana State University And Agricultural And Mechanical College,2.166
r32,4430873,237269,237341,Vanderbilt University,University of South Florida,1.778
r32,4430874,237258,237261,University Of Arizona,University Of California-San Diego,1.799
r8,4430875,237266,237315,University Of California-Santa Barbara,York University,2.835
r8,4430876,237255,237324,Ohio State University Main Campus,George Mason University,1.361
r34,4430877,237328,237365,University of Calgary,Louisiana State University And Agricultural And Mechanical College,21.616
r8,4430878,237252,237370,London School of Economics,Memorial University of Newfoundland,1.223
r8,4430879,237300,237334,Florida State University,Case Western Reserve University,1.176
r34,4430880,237248,237311,Indiana University At Bloomington,Iowa State University,3.19
r8,4430881,237246,237272,Duke University,State University Of New York At Albany,0.988
r8,4430882,237304,237357,University Of Georgia,"National University of Ireland, Galway.",2.409
r8,4430883,237363,237347,University Of North Texas,University Of Tennessee,1.468
r8,4430884,237269,237343,Vanderbilt University,University of Alberta,1.168
r34,4430885,237362,237325,University Of Hawaii At Manoa,Simon Fraser University,12.384
r8,4430887,237296,237356,Purdue University Main Campus,University of Waterloo,1.224
r34,4430888,237343,237307,University of Alberta,Texas A & M University,4.322
r8,4430889,237317,237342,Loyola University Chicago,Georgia State University,1.082
r34,4430891,237261,237324,University Of California-San Diego,George Mason University,2.159
r8,4430892,237280,237357,Emory University,"National University of Ireland, Galway.",4.774
r34,4430893,237301,237356,Temple University,University of Waterloo,2.819
r34,4430894,237242,237347,University Of North Carolina At Chapel Hill,University Of Tennessee,4.798
r34,4430897,237273,237373,University of British Columbia,"National University of Ireland, Maynooth",1.903
r33,4430898,237255,237366,Ohio State University Main Campus,University Of Oklahoma Norman Campus,3.538
r34,4430899,237306,237310,North Carolina State University,University of North Carolina at Charlotte,3.242
r33,4430900,237249,237296,Cornell University,Purdue University Main Campus,2.837
r34,4430902,237271,237346,State University Of New York At Stony Brook,University Of Kentucky,1.885
r8,4430903,237258,237279,University Of Arizona,The New School for Social Research,1.701
r33,4430904,237244,237305,University Of Pennsylvania,Syracuse University Main Campus,2.201
r34,4430905,237265,237328,University Of Notre Dame,University of Calgary,2.118
r8,4430906,237310,237272,University of North Carolina at Charlotte,State University Of New York At Albany,2.384
r34,4430907,237240,237366,University Of California-Los Angeles,University Of Oklahoma Norman Campus,1.864
r8,4430908,237286,237355,University Of California-Riverside,Mississippi State University,2.588
r34,4430909,237321,237362,University of Sussex,University Of Hawaii At Manoa,2.847
r8,4430911,237353,237323,Brigham Young University,University Of Miami,2.185
r34,4430912,237300,237358,Florida State University,Howard University,7.017
r8,4430913,237236,237269,University Of Wisconsin-Madison,Vanderbilt University,1.316
r8,4430914,237310,237327,University of North Carolina at Charlotte,University of Edinburgh,1.152
r35,4430915,237330,237326,University Of New Hampshire,University of Victoria,4.41
r34,4430917,237314,237373,University of Nevada Las Vegas,"National University of Ireland, Maynooth",3.958
r33,4430918,237300,237342,Florida State University,Georgia State University,2.413
r34,4430920,237278,237350,University Of Illinois At Urbana-Champaign,Carleton University,4.057
r33,4430921,237236,237252,University Of Wisconsin-Madison,London School of Economics,3.57
r35,4430922,237283,237259,Boston University,Johns Hopkins University,7.94
r34,4430923,237240,237339,University Of California-Los Angeles,University Of New Mexico Main Campus,1.491
r33,4430925,237258,237283,University Of Arizona,Boston University,2.405
r35,4430926,237252,237353,London School of Economics,Brigham Young University,2.276
r33,4430927,237256,237265,University Of Minnesota-Twin Cities,University Of Notre Dame,2.531
r34,4430928,237292,237326,Rice University,University of Victoria,5.268
r35,4430929,237270,237244,City University Of New York Grad. Center,University Of Pennsylvania,3.834
r34,4430930,237289,237344,Sciences Po (Institut Etudes Politiques de Paris),University of York,1.692
r8,4430931,237269,237326,Vanderbilt University,University of Victoria,8.588
r33,4430932,237298,237328,University Of California-San Francisco,University of Calgary,4.242
r35,4430934,237271,237329,State University Of New York At Stony Brook,University of Essex,2.553
r34,4430935,237286,237369,University Of California-Riverside,University of Nottingham,2.696
r8,4430936,237289,237280,Sciences Po (Institut Etudes Politiques de Paris),Emory University,1.994
r34,4430937,237266,237369,University Of California-Santa Barbara,University of Nottingham,1.831
r33,4430938,237245,237247,Northwestern University,New York University,3.565
r8,4430939,237291,237335,Washington State University,University of Western Ontario,1.852
r8,4430941,237234,237369,University Of California-Berkeley,University of Nottingham,1.073
r34,4430942,237302,237298,Tulane University,University Of California-San Francisco,2.619
r8,4430943,237285,237364,University Of Colorado At Boulder,University of Saskatchewan,2.005
r34,4430944,237324,237340,George Mason University,Baylor University,2.114
r34,4430945,237276,237275,McGill University,University Of Iowa,2.22
r36,4430946,237334,237352,Case Western Reserve University,University of Wales,2.917
r34,4430949,237239,237367,Harvard University,University Of Akron,1.346
r35,4430950,237296,237316,Purdue University Main Campus,University Of Florida,2.289
r36,4430951,237282,237285,University Of Oregon,University Of Colorado At Boulder,3.434
r33,4430952,237292,237261,Rice University,University Of California-San Diego,2.238
r34,4430953,237248,237326,Indiana University At Bloomington,University of Victoria,2.235
r35,4430954,237324,237350,George Mason University,Carleton University,3.081
r36,4430955,237257,237340,University Of California-Irvine,Baylor University,3.499
r37,4430956,237276,237349,McGill University,Virginia Polytechnic Institute And State University,4.535
r34,4430957,237236,237276,University Of Wisconsin-Madison,McGill University,2.503
r35,4430958,237279,237326,The New School for Social Research,University of Victoria,2.001
r36,4430959,237235,237280,University Of Michigan-Ann Arbor,Emory University,1.778
r34,4430960,237236,237285,University Of Wisconsin-Madison,University Of Colorado At Boulder,1.382
r37,4430961,237249,237335,Cornell University,University of Western Ontario,2.648
r35,4430962,237250,237284,Yale University,Boston College,2.669
r36,4430963,237366,237337,University Of Oklahoma Norman Campus,University of Warwick,2.237
r34,4430965,237313,237322,University Of Kansas,University Of Missouri - Columbia,2.648
r35,4430966,237311,237364,Iowa State University,University of Saskatchewan,2.116
r36,4430967,237353,237343,Brigham Young University,University of Alberta,1.933
r33,4430968,237244,237243,University Of Pennsylvania,Columbia University In The City Of New York,3.546
r36,4430969,237298,237362,University Of California-San Francisco,University Of Hawaii At Manoa,1.653
r34,4430970,237280,237297,Emory University,State University Of New York At Binghamton,5.813
r36,4430971,237323,237370,University Of Miami,Memorial University of Newfoundland,1.706
r33,4430972,237264,237282,University Of Maryland College Park,University Of Oregon,2.29
r34,4430973,237294,237351,Brandeis University,Kent State University Main Campus,2.451
r36,4430974,237290,237366,University Of Connecticut,University Of Oklahoma Norman Campus,2.152
r33,4430976,237284,237287,Boston College,University of Pittsburgh,3.087
r36,4430977,237242,237254,University Of North Carolina At Chapel Hill,University Of Washington,1.177
r34,4430978,237271,237344,State University Of New York At Stony Brook,University of York,2.07
r36,4430980,237246,237281,Duke University,University Of Virginia,1.388
r8,4430981,237261,237265,University Of California-San Diego,University Of Notre Dame,4.409
r33,4430982,237268,237340,University of Toronto,Baylor University,3.792
r35,4430983,237266,237348,University Of California-Santa Barbara,University of Leeds,1.903
r34,4430984,237263,237311,University Of Massachusetts Amherst,Iowa State University,3.923
r8,4430985,237266,237285,University Of California-Santa Barbara,University Of Colorado At Boulder,3.684
r35,4430986,237343,237349,University of Alberta,Virginia Polytechnic Institute And State University,3.164
r8,4430987,237235,237349,University Of Michigan-Ann Arbor,Virginia Polytechnic Institute And State University,1.229
r8,4430988,237245,237286,Northwestern University,University Of California-Riverside,1.824
r35,4430989,237364,237349,University of Saskatchewan,Virginia Polytechnic Institute And State University,3.94
r8,4430991,237240,237281,University Of California-Los Angeles,University Of Virginia,1.549
r35,4430992,237313,237300,University Of Kansas,Florida State University,2.159
r33,4430993,237257,237262,University Of California-Irvine,University Of California-Davis,4.114
r35,4430994,237277,237321,University Of Southern California,University of Sussex,2.334
r34,4430995,237303,237349,Hunter college,Virginia Polytechnic Institute And State University,14.142
r35,4430996,237266,237295,University Of California-Santa Barbara,Michigan State University,2.609
r34,4430997,237299,237355,State University Of New York At Buffalo,Mississippi State University,3.047
r35,4430999,237268,237365,University of Toronto,Louisiana State University And Agricultural And Mechanical College,3.731
r33,4431001,237258,237330,University Of Arizona,University Of New Hampshire,1.814
r34,4431002,237253,237362,Penn State University,University Of Hawaii At Manoa,4.815
r8,4431003,237273,237274,University of British Columbia,University Of Illinois At Chicago,1.349
r33,4431004,237238,237325,University Of Chicago,Simon Fraser University,1.924
r8,4431005,237237,237316,Princeton University,University Of Florida,1.289
r35,4431006,237296,237264,Purdue University Main Campus,University Of Maryland College Park,4.553
r34,4431007,237313,237251,University Of Kansas,University Of Texas At Austin,2.533
r33,4431008,237234,237364,University Of California-Berkeley,University of Saskatchewan,2.102
r35,4431009,237241,237318,Stanford University,University Of Nebraska - Lincoln,1.892
r35,4431010,237297,237336,State University Of New York At Binghamton,Queen's University,1.924
r34,4431011,237287,237368,University of Pittsburgh,Western Michigan University,7.476
r35,4431013,237242,237293,University Of North Carolina At Chapel Hill,Arizona State University,4.71
r38,4431014,237251,237336,University Of Texas At Austin,Queen's University,523.885
r35,4431016,237309,237251,McMaster University,University Of Texas At Austin,3.247
r38,4431017,237337,237299,University of Warwick,State University Of New York At Buffalo,4.5
r34,4431018,237314,237295,University of Nevada Las Vegas,Michigan State University,7.737
r35,4431020,237301,237269,Temple University,Vanderbilt University,3.453
r38,4431021,237267,237338,Brown University,University of Central Florida,2.105
r8,4431022,237261,237337,University Of California-San Diego,University of Warwick,2.213
r35,4431023,237267,237287,Brown University,University of Pittsburgh,1.711
r34,4431024,237336,237285,Queen's University,University Of Colorado At Boulder,3.472
r35,4431025,237331,237287,Bowling Green State University,University of Pittsburgh,5.702
r35,4431027,237351,237364,Kent State University Main Campus,University of Saskatchewan,3.397
r8,4431028,237242,237348,University Of North Carolina At Chapel Hill,University of Leeds,1.12
r35,4431029,237317,237348,Loyola University Chicago,University of Leeds,1.936
r8,4431030,237244,237262,University Of Pennsylvania,University Of California-Davis,1.552
r35,4431031,237271,237350,State University Of New York At Stony Brook,Carleton University,2.696
r35,4431032,237235,237319,University Of Michigan-Ann Arbor,University Of South Carolina Columbia,2.209
r35,4431034,237285,237337,University Of Colorado At Boulder,University of Warwick,2.399
r39,4431035,237277,237314,University Of Southern California,University of Nevada Las Vegas,2.932
r37,4431036,237255,237278,Ohio State University Main Campus,University Of Illinois At Urbana-Champaign,97.015
r40,4431038,237240,237314,University Of California-Los Angeles,University of Nevada Las Vegas,3.605
r34,4431039,237272,237334,State University Of New York At Albany,Case Western Reserve University,3.646
r8,4431040,237280,237322,Emory University,University Of Missouri - Columbia,1.308
r39,4431041,237237,237243,Princeton University,Columbia University In The City Of New York,2.937
r35,4431042,237312,237297,Northeastern University,State University Of New York At Binghamton,4.089
r40,4431043,237257,237315,University Of California-Irvine,York University,2.093
r37,4431044,237272,237348,State University Of New York At Albany,University of Leeds,2.568
r34,4431045,237268,237280,University of Toronto,Emory University,1.776
r39,4431046,237329,237341,University of Essex,University of South Florida,2.068
r37,4431047,237262,237359,University Of California-Davis,Oklahoma State University Main Campus,1.838
r39,4431048,237292,237319,Rice University,University Of South Carolina Columbia,1.803
r35,4431049,237312,237273,Northeastern University,University of British Columbia,4.472
r39,4431050,237262,237325,University Of California-Davis,Simon Fraser University,1.433
r34,4431051,237306,237316,North Carolina State University,University Of Florida,4.588
r39,4431052,237323,237342,University Of Miami,Georgia State University,1.685
r35,4431053,237248,237296,Indiana University At Bloomington,Purdue University Main Campus,3.08
r23,4431054,237239,237234,Harvard University,University Of California-Berkeley,135.064
r39,4431055,237258,237346,University Of Arizona,University Of Kentucky,2.372
r35,4431056,237291,237365,Washington State University,Louisiana State University And Agricultural And Mechanical College,2.229
r23,4431057,237242,237269,University Of North Carolina At Chapel Hill,Vanderbilt University,2.474
r39,4431058,237250,237372,Yale University,University of Durham,1.675
r35,4431060,237244,237249,University Of Pennsylvania,Cornell University,3.348
r39,4431061,237310,237320,University of North Carolina at Charlotte,University of Cincinnati,4.029
r35,4431062,237298,237310,University Of California-San Francisco,University of North Carolina at Charlotte,2.844
r39,4431063,237292,237289,Rice University,Sciences Po (Institut Etudes Politiques de Paris),1.752
r35,4431065,237291,237301,Washington State University,Temple University,2.379
r39,4431066,237257,237302,University Of California-Irvine,Tulane University,2.891
r37,4431067,237294,237365,Brandeis University,Louisiana State University And Agricultural And Mechanical College,2.091
r35,4431068,237247,237253,New York University,Penn State University,2.25
r39,4431070,237370,237371,Memorial University of Newfoundland,Utah State University,3.163
r37,4431071,237309,237371,McMaster University,Utah State University,2.351
r4,4431072,237315,237360,York University,Wayne State University,2.342
r35,4431073,237240,237355,University Of California-Los Angeles,Mississippi State University,2.154
r40,4431074,237261,237252,University Of California-San Diego,London School of Economics,2.29
r39,4431075,237335,237311,University of Western Ontario,Iowa State University,1.986
r40,4431076,237235,237283,University Of Michigan-Ann Arbor,Boston University,1.471
r39,4431077,237330,237353,University Of New Hampshire,Brigham Young University,1.806
r37,4431078,237287,237336,University of Pittsburgh,Queen's University,4.22
r4,4431079,237252,237280,London School of Economics,Emory University,4.147
r40,4431080,237235,237300,University Of Michigan-Ann Arbor,Florida State University,1.035
r39,4431081,237327,237361,University of Edinburgh,Dalhousie University,1.436
r4,4431082,237257,237330,University Of California-Irvine,University Of New Hampshire,1.699
r39,4431083,237239,237322,Harvard University,University Of Missouri - Columbia,1.564
r40,4431085,237246,237369,Duke University,University of Nottingham,2.536
r37,4431086,237324,237329,George Mason University,University of Essex,3.878
r39,4431087,237247,237278,New York University,University Of Illinois At Urbana-Champaign,1.41
r8,4431088,237240,237367,University Of California-Los Angeles,University Of Akron,1.37
r41,4431089,237237,237348,Princeton University,University of Leeds,32.113
r37,4431090,237266,237355,University Of California-Santa Barbara,Mississippi State University,1.675
r4,4431091,237313,237353,University Of Kansas,Brigham Young University,4.966
r34,4431092,237245,237353,Northwestern University,Brigham Young University,1.537
r40,4431093,237335,237312,University of Western Ontario,Northeastern University,3.042
r8,4431094,237247,237313,New York University,University Of Kansas,1.09
r39,4431095,237303,237352,Hunter college,University of Wales,3.196
r37,4431097,237287,237339,University of Pittsburgh,University Of New Mexico Main Campus,1.732
r34,4431098,237249,237312,Cornell University,Northeastern University,1.99
r41,4431099,237253,237338,Penn State University,University of Central Florida,4.346
r8,4431100,237244,237354,University Of Pennsylvania,Southern Illinois University Carbondale,2.176
r39,4431101,237240,237297,University Of California-Los Angeles,State University Of New York At Binghamton,2.846
r35,4431102,237303,237344,Hunter college,University of York,2.495
r39,4431103,237281,237347,University Of Virginia,University Of Tennessee,1.398
r35,4431104,237245,237268,Northwestern University,University of Toronto,1.896
r39,4431105,237243,237266,Columbia University In The City Of New York,University Of California-Santa Barbara,1.693
r37,4431106,237331,237310,Bowling Green State University,University of North Carolina at Charlotte,5.631
r41,4431107,237339,237314,University Of New Mexico Main Campus,University of Nevada Las Vegas,5.346
r35,4431110,237271,237352,State University Of New York At Stony Brook,University of Wales,2.354
r39,4431111,237310,237366,University of North Carolina at Charlotte,University Of Oklahoma Norman Campus,1.86
r8,4431112,237242,237240,University Of North Carolina At Chapel Hill,University Of California-Los Angeles,1.439
r41,4431114,237297,237323,State University Of New York At Binghamton,University Of Miami,4.299
r8,4431115,237363,237360,University Of North Texas,Wayne State University,1.345
r39,4431116,237287,237345,University of Pittsburgh,Kansas State University,2.397
r35,4431117,237327,237324,University of Edinburgh,George Mason University,2.699
r34,4431118,237258,237311,University Of Arizona,Iowa State University,2.259
r39,4431119,237249,237367,Cornell University,University Of Akron,1.409
r34,4431120,237280,237323,Emory University,University Of Miami,1.405
r8,4431122,237296,237345,Purdue University Main Campus,Kansas State University,5.663
r34,4431123,237249,237335,Cornell University,University of Western Ontario,1.568
r39,4431124,237267,237339,Brown University,University Of New Mexico Main Campus,3.599
r35,4431125,237238,237250,University Of Chicago,Yale University,6.343
r8,4431126,237276,237333,McGill University,Fordham University,1.585
r37,4431127,237298,237363,University Of California-San Francisco,University Of North Texas,1.708
r39,4431129,237263,237291,University Of Massachusetts Amherst,Washington State University,1.983
r41,4431130,237366,237359,University Of Oklahoma Norman Campus,Oklahoma State University Main Campus,10.796
r35,4431131,237372,237353,University of Durham,Brigham Young University,2.061
r39,4431132,237249,237367,Cornell University,University Of Akron,1.177
r40,4431133,237261,237297,University Of California-San Diego,State University Of New York At Binghamton,2.132
r37,4431134,237310,237359,University of North Carolina at Charlotte,Oklahoma State University Main Campus,3.498
r35,4431136,237248,237328,Indiana University At Bloomington,University of Calgary,2.831
r41,4431137,237271,237272,State University Of New York At Stony Brook,State University Of New York At Albany,4.688
r40,4431138,237249,237320,Cornell University,University of Cincinnati,2.111
r37,4431139,237277,237305,University Of Southern California,Syracuse University Main Campus,2.642
r8,4431140,237266,237278,University Of California-Santa Barbara,University Of Illinois At Urbana-Champaign,1.904
r40,4431141,237336,237332,Queen's University,University Of Delaware,2.173
r35,4431142,237304,237373,University Of Georgia,"National University of Ireland, Maynooth",3.435
r39,4431143,237253,237270,Penn State University,City University Of New York Grad. Center,6.747
r41,4431144,237369,237312,University of Nottingham,Northeastern University,3.691
r37,4431145,237300,237292,Florida State University,Rice University,2.449
r39,4431146,237235,237352,University Of Michigan-Ann Arbor,University of Wales,1.508
r40,4431147,237270,237293,City University Of New York Grad. Center,Arizona State University,2.9
r37,4431148,237270,237368,City University Of New York Grad. Center,Western Michigan University,1.792
r8,4431149,237284,237259,Boston College,Johns Hopkins University,7.089
r40,4431150,237249,237331,Cornell University,Bowling Green State University,1.347
r39,4431151,237255,237309,Ohio State University Main Campus,McMaster University,2.489
r41,4431152,237271,237365,State University Of New York At Stony Brook,Louisiana State University And Agricultural And Mechanical College,4.633
r37,4431153,237237,237360,Princeton University,Wayne State University,1.477
r35,4431154,237265,237252,University Of Notre Dame,London School of Economics,5.731
r39,4431156,237312,237293,Northeastern University,Arizona State University,1.721
r37,4431157,237244,237355,University Of Pennsylvania,Mississippi State University,1.592
r35,4431158,237273,237340,University of British Columbia,Baylor University,2.146
r39,4431159,237336,237265,Queen's University,University Of Notre Dame,1.584
r34,4431160,237245,237272,Northwestern University,State University Of New York At Albany,2.572
r37,4431162,237245,237297,Northwestern University,State University Of New York At Binghamton,2.139
r39,4431163,237271,237300,State University Of New York At Stony Brook,Florida State University,1.75
r35,4431164,237289,237332,Sciences Po (Institut Etudes Politiques de Paris),University Of Delaware,2.55
r37,4431165,237266,237329,University Of California-Santa Barbara,University of Essex,1.524
r39,4431166,237246,237260,Duke University,Rutgers The State University Of New Jersey New Brunswick Campus,1.68
r34,4431167,237279,237349,The New School for Social Research,Virginia Polytechnic Institute And State University,3.505
r35,4431169,237346,237286,University Of Kentucky,University Of California-Riverside,4.134
